site_protocol_code,seasonYear,gridID,latitude,longitude,elevation_in_mts,aru_deployment_date,aru_deployment_time,aru_sampling_configuration,aru_sampling_duration,filenames,deviceID,startTime,fullPart
Candura_pointCountSurvey,2024Summer,N08,10.3085696,76.83118,NA,4/23/2024,8:52,600 s continuous,600,20240423_053701_N08_0852.WAV,AudioMoth 24E144025D018F18,8:52,full
Candura_pointCountSurvey,2024Summer,J10,10.3103569,76.8348418,NA,4/22/2024,6:35,600 s continuous,600,20240422_054843_J10_0635.WAV,AudioMoth 247475015D511F39,6:35,full
Candura_pointCountSurvey,2024Summer,O08,10.3085748,76.8302671,NA,4/23/2024,9:07,600 s continuous,600,20240423_055145_O08_0907.WAV,AudioMoth 24E144025D018F18,9:07,full
Candura_pointCountSurvey,2024Summer,K10,10.3103621,76.833929,NA,4/22/2024,6:50,600 s continuous,600,20240422_060447_K10_0650.WAV,AudioMoth 247475015D511F39,6:50,full
Candura_pointCountSurvey,2024Summer,P08,10.30858,76.8293543,NA,4/23/2024,9:21,600 s continuous,600,20240423_060539_P08_0921.WAV,AudioMoth 24E144025D018F18,9:21,full
Candura_pointCountSurvey,2024Summer,L10,10.3103672,76.8330161,NA,4/22/2024,7:10,600 s continuous,600,20240422_062352_L10_0710.WAV,AudioMoth 247475015D511F39,7:10,full
Candura_pointCountSurvey,2024Summer,M10,10.3103724,76.8321033,NA,4/22/2024,7:27,600 s continuous,600,20240422_064100_M10_0727.WAV,AudioMoth 247475015D511F39,7:27,full
Candura_pointCountSurvey,2024Summer,M09,10.3094684,76.832098,NA,4/22/2024,7:42,600 s continuous,600,20240422_065605_M09_0742.WAV,AudioMoth 247475015D511F39,7:42,full
Candura_pointCountSurvey,2024Summer,L09,10.3094633,76.8330109,NA,4/22/2024,7:58,600 s continuous,600,20240422_071245_L09_0758.WAV,AudioMoth 247475015D511F39,7:58,full
Candura_pointCountSurvey,2024Summer,K09,10.3094581,76.8339238,NA,4/22/2024,8:15,600 s continuous,600,20240422_072904_K09_0815.WAV,AudioMoth 247475015D511F39,8:15,full
Candura_pointCountSurvey,2024Summer,J09,10.3094529,76.8348366,NA,4/22/2024,8:31,600 s continuous,600,20240422_074507_J09_0831.WAV,AudioMoth 247475015D511F39,8:31,full
Candura_pointCountSurvey,2024Summer,I09,10.3094477,76.8357495,NA,4/22/2024,8:47,600 s continuous,600,20240422_080113_I09_0847.WAV,AudioMoth 247475015D511F39,8:47,full
Candura_pointCountSurvey,2024Summer,I08,10.3085438,76.8357442,NA,4/22/2024,9:02,600 s continuous,600,20240422_081640_I08_0902.WAV,AudioMoth 247475015D511F39,9:02,full
Candura_pointCountSurvey,2024Summer,J11,10.3112609,76.8348471,NA,4/22/2024,6:28,600 s continuous,600,20240422_062803_J11_0628.WAV,AudioMoth 24E144025D018F18,6:28,full
Candura_pointCountSurvey,2024Summer,J13,10.3130688,76.8348575,NA,4/22/2024,6:33,600 s continuous,600,20240422_063318_J13_0633.WAV,AudioMoth 245AAA0563ED0680,6:33,full
Candura_pointCountSurvey,2024Summer,K11,10.311266,76.8339342,NA,4/22/2024,6:44,600 s continuous,600,20240422_064326_K11_0644.WAV,AudioMoth 24E144025D018F18,6:44,full
Candura_pointCountSurvey,2024Summer,I13,10.3130636,76.8357704,NA,4/22/2024,6:54,600 s continuous,600,20240422_065459_I13_0654.WAV,AudioMoth 245AAA0563ED0680,6:54,full
Candura_pointCountSurvey,2024Summer,L11,10.3112712,76.8330214,NA,4/22/2024,7:00,600 s continuous,600,20240422_070019_L11_0700.WAV,AudioMoth 24E144025D018F18,7:00,full
Candura_pointCountSurvey,2024Summer,H13,10.3130584,76.8366833,NA,4/22/2024,7:10,600 s continuous,600,20240422_071058_H13_0710.WAV,AudioMoth 245AAA0563ED0680,7:10,full
Candura_pointCountSurvey,2024Summer,M11,10.3112764,76.8321085,NA,4/22/2024,7:15,600 s continuous,600,20240422_071456_M11_0715.WAV,AudioMoth 24E144025D018F18,7:15,full
Candura_pointCountSurvey,2024Summer,G13,10.3130532,76.8375961,NA,4/22/2024,7:24,600 s continuous,600,20240422_072454_G13_0724.WAV,AudioMoth 245AAA0563ED0680,7:24,full
Candura_pointCountSurvey,2024Summer,M12,10.3121804,76.8321137,NA,4/22/2024,7:31,600 s continuous,600,20240422_073059_M12_0731.WAV,AudioMoth 24E144025D018F18,7:31,full
Candura_pointCountSurvey,2024Summer,F13,10.313048,76.838509,NA,4/22/2024,7:42,600 s continuous,600,20240422_074231_F13_0742.WAV,AudioMoth 245AAA0563ED0680,7:42,full
Candura_pointCountSurvey,2024Summer,L12,10.3121752,76.8330266,NA,4/22/2024,7:48,600 s continuous,600,20240422_074746_L12_0748.WAV,AudioMoth 24E144025D018F18,7:48,full
Candura_pointCountSurvey,2024Summer,G12,10.3121493,76.8375909,NA,4/22/2024,8:00,600 s continuous,600,20240422_080050_G12_0800.WAV,AudioMoth 245AAA0563ED0680,8:00,full
Candura_pointCountSurvey,2024Summer,K12,10.31217,76.8339395,NA,4/22/2024,8:04,600 s continuous,600,20240422_080350_K12_0804.WAV,AudioMoth 24E144025D018F18,8:04,full
Candura_pointCountSurvey,2024Summer,K13,10.313074,76.8339447,NA,4/22/2024,8:18,600 s continuous,600,20240422_081731_K13_0818.WAV,AudioMoth 24E144025D018F18,8:18,full
Candura_pointCountSurvey,2024Summer,H12,10.3121545,76.836678,NA,4/22/2024,8:18,600 s continuous,600,20240422_081830_H12_0818.WAV,AudioMoth 245AAA0563ED0680,8:18,full
Candura_pointCountSurvey,2024Summer,L13,10.3130792,76.8330318,NA,4/22/2024,8:34,600 s continuous,600,20240422_083358_L13_0834.WAV,AudioMoth 24E144025D018F18,8:34,full
Candura_pointCountSurvey,2024Summer,H11,10.3112505,76.8366728,NA,4/22/2024,8:39,600 s continuous,600,20240422_083914_H11_0839.WAV,AudioMoth 245AAA0563ED0680,8:39,full
Candura_pointCountSurvey,2024Summer,M13,10.3130843,76.832119,NA,4/22/2024,8:47,600 s continuous,600,20240422_084708_M13_0847.WAV,AudioMoth 24E144025D018F18,8:47,full
Candura_pointCountSurvey,2024Summer,H10,10.3103465,76.8366676,NA,4/22/2024,8:54,600 s continuous,600,20240422_085432_H10_0854.WAV,AudioMoth 245AAA0563ED0680,8:54,PARTA
Candura_pointCountSurvey,2024Summer,H10,10.3103465,76.8366676,NA,4/22/2024,8:54,600 s continuous,600,20240422_090000_H10_0854_PARTB.WAV,AudioMoth 245AAA0563ED0680,8:54,PARTB
Candura_pointCountSurvey,2024Summer,J12,10.3121648,76.8348523,NA,4/22/2024,9:15,600 s continuous,600,20240422_091553_J12_0915.WAV,AudioMoth 245AAA0563ED0680,9:15,full
Candura_pointCountSurvey,2024Summer,H17,10.3166743,76.8367042,NA,4/23/2024,6:15,600 s continuous,600,20240423_061534_H17_0615.WAV,AudioMoth 247475015D511F39,6:15,full
Candura_pointCountSurvey,2024Summer,K17,10.3166899,76.8339656,NA,4/23/2024,6:27,600 s continuous,600,20240423_062649_K17_0627.WAV,AudioMoth 245AAA0563ED0680,6:27,full
Candura_pointCountSurvey,2024Summer,H16,10.3157703,76.836699,NA,4/23/2024,6:31,600 s continuous,600,20240423_063106_H16_0631.WAV,AudioMoth 247475015D511F39,6:31,full
Candura_pointCountSurvey,2024Summer,N16,10.3158015,76.8312218,NA,4/23/2024,6:39,600 s continuous,600,20240423_063937_N16_0639.WAV,AudioMoth 24E144025D018F18,6:39,full
Candura_pointCountSurvey,2024Summer,L17,10.3166951,76.8330527,NA,4/23/2024,6:41,600 s continuous,600,20240423_064011_L17_0641.WAV,AudioMoth 245AAA0563ED0680,6:41,full
Candura_pointCountSurvey,2024Summer,G16,10.3157652,76.8376119,NA,4/23/2024,6:44,600 s continuous,600,20240423_064410_G16_0644.WAV,AudioMoth 247475015D511F39,6:44,full
Candura_pointCountSurvey,2024Summer,M17,10.3167002,76.8321399,NA,4/23/2024,6:57,600 s continuous,600,20240423_065659_M17_0657_PARTA.WAV,AudioMoth 245AAA0563ED0680,6:57,PARTA
Candura_pointCountSurvey,2024Summer,G15,10.3148612,76.8376066,NA,4/23/2024,6:59,600 s continuous,600,20240423_065911_G15_0659_PARTA.WAV,AudioMoth 247475015D511F39,6:59,PARTA
Candura_pointCountSurvey,2024Summer,N15,10.3148975,76.8312165,NA,4/23/2024,6:59,600 s continuous,600,20240423_065933_N15_0659_PARTA.WAV,AudioMoth 24E144025D018F18,6:59,PARTA
Candura_pointCountSurvey,2024Summer,G15,10.3148612,76.8376066,NA,4/23/2024,6:59,600 s continuous,600,20240423_070000_G15_0659_PARTB.WAV,AudioMoth 247475015D511F39,6:59,PARTB
Candura_pointCountSurvey,2024Summer,M17,10.3167002,76.8321399,NA,4/23/2024,6:57,600 s continuous,600,20240423_070000_M17_0657_PARTB.WAV,AudioMoth 245AAA0563ED0680,6:57,PARTB
Candura_pointCountSurvey,2024Summer,N15,10.3148975,76.8312165,NA,4/23/2024,6:59,600 s continuous,600,20240423_070000_N15_0659_PARTB.WAV,AudioMoth 24E144025D018F18,6:59,PARTB
Candura_pointCountSurvey,2024Summer,M16,10.3157963,76.8321346,NA,4/23/2024,7:12,600 s continuous,600,20240423_071146_M16_0712.WAV,AudioMoth 245AAA0563ED0680,7:12,full
Candura_pointCountSurvey,2024Summer,G14,10.3139572,76.8376014,NA,4/23/2024,7:15,600 s continuous,600,20240423_071504_G14_0715.WAV,AudioMoth 247475015D511F39,7:15,full
Candura_pointCountSurvey,2024Summer,N14,10.3139935,76.8312113,NA,4/23/2024,7:15,600 s continuous,600,20240423_071516_N14_0715.WAV,AudioMoth 24E144025D018F18,7:15,full
Candura_pointCountSurvey,2024Summer,M15,10.3148923,76.8321294,NA,4/23/2024,7:27,600 s continuous,600,20240423_072653_M15_0727.WAV,AudioMoth 245AAA0563ED0680,7:27,full
Candura_pointCountSurvey,2024Summer,F14,10.313952,76.8385142,NA,4/23/2024,7:29,600 s continuous,600,20240423_072909_F14_0729.WAV,AudioMoth 247475015D511F39,7:29,full
Candura_pointCountSurvey,2024Summer,N13,10.3130895,76.8312061,NA,4/23/2024,7:29,600 s continuous,600,20240423_072930_N13_0729.WAV,AudioMoth 24E144025D018F18,7:29,full
Candura_pointCountSurvey,2024Summer,M14,10.3139883,76.8321242,NA,4/23/2024,7:44,600 s continuous,600,20240423_074335_M14_0744.WAV,AudioMoth 245AAA0563ED0680,7:44,full
Candura_pointCountSurvey,2024Summer,F15,10.314856,76.8385195,NA,4/23/2024,7:46,600 s continuous,600,20240423_074622_F15_0746.WAV,AudioMoth 247475015D511F39,7:46,full
Candura_pointCountSurvey,2024Summer,N12,10.3121855,76.8312009,NA,4/23/2024,7:46,600 s continuous,600,20240423_074647_N12_0746.WAV,AudioMoth 24E144025D018F18,7:46,full
Candura_pointCountSurvey,2024Summer,L14,10.3139831,76.8330371,NA,4/23/2024,8:00,600 s continuous,600,20240423_075910_L14_0800_PARTA.WAV,AudioMoth 245AAA0563ED0680,8:00,PARTA
Candura_pointCountSurvey,2024Summer,L14,10.3139831,76.8330371,NA,4/23/2024,8:00,600 s continuous,600,20240423_080000_L14_0800_PARTB.WAV,AudioMoth 245AAA0563ED0680,8:00,PARTB
Candura_pointCountSurvey,2024Summer,F16,10.31576,76.8385247,NA,4/23/2024,8:01,600 s continuous,600,20240423_080125_F16_0801.WAV,AudioMoth 247475015D511F39,8:01,full
Candura_pointCountSurvey,2024Summer,N11,10.3112816,76.8311956,NA,4/23/2024,8:03,600 s continuous,600,20240423_080338_N11_0803.WAV,AudioMoth 24E144025D018F18,8:03,full
Candura_pointCountSurvey,2024Summer,L15,10.3148871,76.8330423,NA,4/23/2024,8:14,600 s continuous,600,20240423_081327_L15_0814.WAV,AudioMoth 245AAA0563ED0680,8:14,full
Candura_pointCountSurvey,2024Summer,E15,10.3148508,76.8394323,NA,4/23/2024,8:18,600 s continuous,600,20240423_081823_E15_0818.WAV,AudioMoth 247475015D511F39,8:18,full
Candura_pointCountSurvey,2024Summer,N10,10.3103776,76.8311904,NA,4/23/2024,8:19,600 s continuous,600,20240423_081929_N10_0819.WAV,AudioMoth 24E144025D018F18,8:19,full
Candura_pointCountSurvey,2024Summer,L16,10.3157911,76.8330475,NA,4/23/2024,8:27,600 s continuous,600,20240423_082625_L16_0827.WAV,AudioMoth 245AAA0563ED0680,8:27,full
Candura_pointCountSurvey,2024Summer,D15,10.3148456,76.8403452,NA,4/23/2024,8:37,600 s continuous,600,20240423_083750_D15_0837.WAV,AudioMoth 247475015D511F39,8:37,full
Candura_pointCountSurvey,2024Summer,K16,10.3157859,76.8339604,NA,4/23/2024,8:43,600 s continuous,600,20240423_084245_K16_0843.WAV,AudioMoth 245AAA0563ED0680,8:43,full
Candura_pointCountSurvey,2024Summer,K15,10.3148819,76.8339551,NA,4/23/2024,8:59,600 s continuous,600,20240423_085802_K15_0859_PARTA.WAV,AudioMoth 245AAA0563ED0680,8:59,PARTA
Candura_pointCountSurvey,2024Summer,K15,10.3148819,76.8339551,NA,4/23/2024,8:59,600 s continuous,600,20240423_090000_K15_0859_PARTB.WAV,AudioMoth 245AAA0563ED0680,8:59,PARTB
Candura_pointCountSurvey,2024Summer,E14,10.3139468,76.8394271,NA,4/23/2024,9:01,600 s continuous,600,20240423_090148_E14_0901.WAV,AudioMoth 247475015D511F39,9:01,full
Candura_pointCountSurvey,2024Summer,J08,10.3085489,76.8348314,NA,4/24/2024,6:14,600 s continuous,600,20240424_061319_J08_0614.WAV,AudioMoth 24E144025D018F18,6:14,full
Candura_pointCountSurvey,2024Summer,G08,10.3085334,76.8375699,NA,4/24/2024,6:13,600 s continuous,600,20240424_061332_G08_0613.WAV,AudioMoth 245AAA0563ED0680,6:13,full
Candura_pointCountSurvey,2024Summer,K14,10.313978,76.8339499,NA,4/24/2024,6:20,600 s continuous,600,20240424_062051_K14_0620.WAV,AudioMoth 247475015D511F39,6:20,full
Candura_pointCountSurvey,2024Summer,K08,10.3085541,76.8339185,NA,4/24/2024,6:31,600 s continuous,600,20240424_063049_K08_0631.WAV,AudioMoth 24E144025D018F18,6:31,full
Candura_pointCountSurvey,2024Summer,G07,10.3076294,76.8375647,NA,4/24/2024,6:33,600 s continuous,600,20240424_063333_G07_0633.WAV,AudioMoth 245AAA0563ED0680,6:33,full
Candura_pointCountSurvey,2024Summer,J14,10.3139728,76.8348628,NA,4/24/2024,6:35,600 s continuous,600,20240424_063541_J14_0635.WAV,AudioMoth 247475015D511F39,6:35,full
Candura_pointCountSurvey,2024Summer,L08,10.3085593,76.8330057,NA,4/24/2024,6:46,600 s continuous,600,20240424_064618_L08_0646.WAV,AudioMoth 24E144025D018F18,6:46,full
Candura_pointCountSurvey,2024Summer,J15,10.3148768,76.834868,NA,4/24/2024,6:49,600 s continuous,600,20240424_064944_J15_0649_PARTA.WAV,AudioMoth 247475015D511F39,6:49,PARTA
Candura_pointCountSurvey,2024Summer,G06,10.3067254,76.8375594,NA,4/24/2024,6:50,600 s continuous,600,20240424_064958_G06_0650_PARTA.WAV,AudioMoth 245AAA0563ED0680,6:50,PARTA
Candura_pointCountSurvey,2024Summer,G06,10.3067254,76.8375594,NA,4/24/2024,6:50,600 s continuous,600,20240424_070000_G06_0650_PARTB.WAV,AudioMoth 245AAA0563ED0680,6:50,PARTB
Candura_pointCountSurvey,2024Summer,J15,10.3148768,76.834868,NA,4/24/2024,6:49,600 s continuous,600,20240424_070000_J15_0649_PARTB.WAV,AudioMoth 247475015D511F39,6:49,PARTB
Candura_pointCountSurvey,2024Summer,J16,10.3157807,76.8348733,NA,4/24/2024,7:04,600 s continuous,600,20240424_070426_J16_0704.WAV,AudioMoth 247475015D511F39,7:04,full
Candura_pointCountSurvey,2024Summer,M08,10.3085645,76.8320928,NA,4/24/2024,7:05,600 s continuous,600,20240424_070505_M08_0705.WAV,AudioMoth 24E144025D018F18,7:05,full
Candura_pointCountSurvey,2024Summer,H06,10.3067306,76.8366466,NA,4/24/2024,7:07,600 s continuous,600,20240424_070709_H06_0707.WAV,AudioMoth 245AAA0563ED0680,7:07,full
Candura_pointCountSurvey,2024Summer,M07,10.3076605,76.8320876,NA,4/24/2024,7:17,600 s continuous,600,20240424_071641_M07_0717.WAV,AudioMoth 24E144025D018F18,7:17,full
Candura_pointCountSurvey,2024Summer,J17,10.3166847,76.8348785,NA,4/24/2024,7:19,600 s continuous,600,20240424_071909_J17_0719.WAV,AudioMoth 247475015D511F39,7:19,full
Candura_pointCountSurvey,2024Summer,I06,10.3067358,76.8357338,NA,4/24/2024,7:23,600 s continuous,600,20240424_072241_I06_0723.WAV,AudioMoth 245AAA0563ED0680,7:23,full
Candura_pointCountSurvey,2024Summer,L07,10.3076553,76.8330005,NA,4/24/2024,7:33,600 s continuous,600,20240424_073258_L07_0733.WAV,AudioMoth 24E144025D018F18,7:33,full
Candura_pointCountSurvey,2024Summer,I17,10.3166795,76.8357914,NA,4/24/2024,7:33,600 s continuous,600,20240424_073306_I17_0733.WAV,AudioMoth 247475015D511F39,7:33,full
Candura_pointCountSurvey,2024Summer,J06,10.306741,76.8348209,NA,4/24/2024,7:38,600 s continuous,600,20240424_073850_J06_0738.WAV,AudioMoth 245AAA0563ED0680,7:38,full
Candura_pointCountSurvey,2024Summer,I16,10.3157755,76.8357861,NA,4/24/2024,7:48,600 s continuous,600,20240424_074805_I16_0748.WAV,AudioMoth 247475015D511F39,7:48,full
Candura_pointCountSurvey,2024Summer,L06,10.3067513,76.8329952,NA,4/24/2024,7:49,600 s continuous,600,20240424_074840_L06_0749.WAV,AudioMoth 24E144025D018F18,7:49,full
Candura_pointCountSurvey,2024Summer,I07,10.3076398,76.835739,NA,4/24/2024,7:57,600 s continuous,600,20240424_075711_I07_0757_PARTA.WAV,AudioMoth 245AAA0563ED0680,7:57,PARTA
Candura_pointCountSurvey,2024Summer,I07,10.3076398,76.835739,NA,4/24/2024,7:57,600 s continuous,600,20240424_080000_I07_0757_PARTB.WAV,AudioMoth 245AAA0563ED0680,7:57,PARTB
Candura_pointCountSurvey,2024Summer,K06,10.3067462,76.8339081,NA,4/24/2024,8:04,600 s continuous,600,20240424_080330_K06_0804.WAV,AudioMoth 24E144025D018F18,8:04,full
Candura_pointCountSurvey,2024Summer,I15,10.3148716,76.8357809,NA,4/24/2024,8:04,600 s continuous,600,20240424_080346_I15_0804.WAV,AudioMoth 247475015D511F39,8:04,full
Candura_pointCountSurvey,2024Summer,H07,10.3076346,76.8366518,NA,4/24/2024,8:11,600 s continuous,600,20240424_081124_H07_0811.WAV,AudioMoth 245AAA0563ED0680,8:11,full
Candura_pointCountSurvey,2024Summer,H15,10.3148664,76.8366938,NA,4/24/2024,8:19,600 s continuous,600,20240424_081905_H15_0819.WAV,AudioMoth 247475015D511F39,8:19,full
Candura_pointCountSurvey,2024Summer,K07,10.3076501,76.8339133,NA,4/24/2024,8:25,600 s continuous,600,20240424_082442_K07_0825.WAV,AudioMoth 24E144025D018F18,8:25,full
Candura_pointCountSurvey,2024Summer,H08,10.3085386,76.8366571,NA,4/24/2024,8:30,600 s continuous,600,20240424_083048_H08_0830.WAV,AudioMoth 245AAA0563ED0680,8:30,full
Candura_pointCountSurvey,2024Summer,H14,10.3139624,76.8366885,NA,4/24/2024,8:32,600 s continuous,600,20240424_083209_H14_0832.WAV,AudioMoth 247475015D511F39,8:32,full
Candura_pointCountSurvey,2024Summer,J07,10.307645,76.8348261,NA,4/24/2024,8:40,600 s continuous,600,20240424_083950_J07_0840.WAV,AudioMoth 24E144025D018F18,8:40,full
Candura_pointCountSurvey,2024Summer,I14,10.3139676,76.8357757,NA,4/24/2024,8:46,600 s continuous,600,20240424_084606_I14_0846.WAV,AudioMoth 247475015D511F39,8:46,full
Candura_pointCountSurvey,2024Summer,B02,10.3030836,76.8421027,NA,4/25/2024,6:08,600 s continuous,600,20240425_060808_B02_0608.WAV,AudioMoth 240435025CC5C90F,6:08,full
Candura_pointCountSurvey,2024Summer,E04,10.3049071,76.8393746,NA,4/25/2024,6:11,600 s continuous,600,20240425_061102_E04_0611.WAV,AudioMoth 24E144025D018F18,6:11,full
Candura_pointCountSurvey,2024Summer,F05,10.3058163,76.838467,NA,4/25/2024,6:21,600 s continuous,600,20240425_062107_F05_0621.WAV,AudioMoth 245AAA0563ED0680,6:21,full
Candura_pointCountSurvey,2024Summer,A02,10.3030784,76.8430155,NA,4/25/2024,6:24,600 s continuous,600,20240425_062416_A02_0624.WAV,AudioMoth 240435025CC5C90F,6:24,full
Candura_pointCountSurvey,2024Summer,F04,10.3049123,76.8384618,NA,4/25/2024,6:26,600 s continuous,600,20240425_062651_F04_0626.WAV,AudioMoth 24E144025D018F18,6:26,full
Candura_pointCountSurvey,2024Summer,G05,10.3058215,76.8375542,NA,4/25/2024,6:37,600 s continuous,600,20240425_063722_G05_0637.WAV,AudioMoth 245AAA0563ED0680,6:37,full
Candura_pointCountSurvey,2024Summer,A01,10.3021744,76.8430102,NA,4/25/2024,6:42,600 s continuous,600,20240425_064215_A01_0642.WAV,AudioMoth 240435025CC5C90F,6:42,full
Candura_pointCountSurvey,2024Summer,G04,10.3049175,76.837549,NA,4/25/2024,6:48,600 s continuous,600,20240425_064843_G04_0648.WAV,AudioMoth 24E144025D018F18,6:48,full
Candura_pointCountSurvey,2024Summer,H05,10.3058267,76.8366414,NA,4/25/2024,6:52,600 s continuous,600,20240425_065204_H05_0652_PARTA.WAV,AudioMoth 245AAA0563ED0680,6:52,PARTA
Candura_pointCountSurvey,2024Summer,H05,10.3058267,76.8366414,NA,4/25/2024,6:52,600 s continuous,600,20240425_070000_H05_0652_PARTB.WAV,AudioMoth 245AAA0563ED0680,6:52,PARTB
Candura_pointCountSurvey,2024Summer,B01,10.3021796,76.8420974,NA,4/25/2024,7:00,600 s continuous,600,20240425_070013_B01_0700.WAV,AudioMoth 240435025CC5C90F,7:00,full
Candura_pointCountSurvey,2024Summer,I05,10.3058318,76.8357285,NA,4/25/2024,7:06,600 s continuous,600,20240425_070603_I05_0706.WAV,AudioMoth 245AAA0563ED0680,7:06,full
Candura_pointCountSurvey,2024Summer,H04,10.3049227,76.8366361,NA,4/25/2024,7:07,600 s continuous,600,20240425_070725_H04_0707.WAV,AudioMoth 24E144025D018F18,7:07,full
Candura_pointCountSurvey,2024Summer,C01,10.3021848,76.8411846,NA,4/25/2024,7:17,600 s continuous,600,20240425_071701_C01_0717.WAV,AudioMoth 240435025CC5C90F,7:17,full
Candura_pointCountSurvey,2024Summer,J05,10.305837,76.8348157,NA,4/25/2024,7:24,600 s continuous,600,20240425_072357_J05_0724.WAV,AudioMoth 245AAA0563ED0680,7:24,full
Candura_pointCountSurvey,2024Summer,I03,10.3040239,76.835718,NA,4/25/2024,7:26,600 s continuous,600,20240425_072621_I03_0726.WAV,AudioMoth 24E144025D018F18,7:26,full
Candura_pointCountSurvey,2024Summer,C02,10.3030888,76.8411898,NA,4/25/2024,7:34,600 s continuous,600,20240425_073452_C02_0734.WAV,AudioMoth 240435025CC5C90F,7:34,full
Candura_pointCountSurvey,2024Summer,J04,10.304933,76.8348105,NA,4/25/2024,7:38,600 s continuous,600,20240425_073824_J04_0738.WAV,AudioMoth 245AAA0563ED0680,7:38,full
Candura_pointCountSurvey,2024Summer,H03,10.3040187,76.8366309,NA,4/25/2024,7:42,600 s continuous,600,20240425_074154_H03_0742.WAV,AudioMoth 24E144025D018F18,7:42,full
Candura_pointCountSurvey,2024Summer,D02,10.303094,76.840277,NA,4/25/2024,7:52,600 s continuous,600,20240425_075212_D02_0752_PARTA.WAV,AudioMoth 240435025CC5C90F,7:52,PARTA
Candura_pointCountSurvey,2024Summer,K04,10.3049382,76.8338976,NA,4/25/2024,7:55,600 s continuous,600,20240425_075507_K04_0755_PARTA.WAV,AudioMoth 245AAA0563ED0680,7:55,PARTA
Candura_pointCountSurvey,2024Summer,G03,10.3040135,76.8375437,NA,4/25/2024,7:57,600 s continuous,600,20240425_075730_G03_0757_PARTA.WAV,AudioMoth 24E144025D018F18,7:57,PARTA
Candura_pointCountSurvey,2024Summer,D02,10.303094,76.840277,NA,4/25/2024,7:52,600 s continuous,600,20240425_080000_D02_0752_PARTB.WAV,AudioMoth 240435025CC5C90F,7:52,PARTB
Candura_pointCountSurvey,2024Summer,G03,10.3040135,76.8375437,NA,4/25/2024,7:57,600 s continuous,600,20240425_080000_G03_0757_PARTB.WAV,AudioMoth 24E144025D018F18,7:57,PARTB
Candura_pointCountSurvey,2024Summer,K04,10.3049382,76.8338976,NA,4/25/2024,7:55,600 s continuous,600,20240425_080000_K04_0755_PARTB.WAV,AudioMoth 245AAA0563ED0680,7:55,PARTB
Candura_pointCountSurvey,2024Summer,L04,10.3049434,76.8329848,NA,4/25/2024,8:09,600 s continuous,600,20240425_080932_L04_0809.WAV,AudioMoth 245AAA0563ED0680,8:09,full
