seasonYear,date,gridID,startTime,duration,eBirdUsers,primaryObserver,secondaryObserver,fieldAssistant,notes
2024 Summer,2024-Apr-25,B02,6:08,10,"jeganathan, paintedstork",P. Jeganathan,Praveen J,Moorthy,Misty
2024 Summer,2024-Apr-25,A02,6:24,10,"jeganathan, paintedstork",P. Jeganathan,Praveen J,Moorthy,Stream noise nearby
2024 Summer,2024-Apr-25,A01,6:42,10,"jeganathan, paintedstork",P. Jeganathan,Praveen J,Moorthy,Clear
2024 Summer,2024-Apr-25,B01,7:00,10,"jeganathan, paintedstork",P. Jeganathan,Praveen J,Moorthy,"Clear, tea-edge, stream"
2024 Summer,2024-Apr-25,C01,7:17,10,"jeganathan, paintedstork",P. Jeganathan,Praveen J,Moorthy,"Clear, near-stream, huge tetramelus"
2024 Summer,2024-Apr-25,C02,7:34,10,"jeganathan, paintedstork",P. Jeganathan,Praveen J,Moorthy,Clear
2024 Summer,2024-Apr-25,D02,7:52,10,"jeganathan, paintedstork",P. Jeganathan,Praveen J,Moorthy,"Clear, motor noise after 5 minutes."
2024 Summer,2024-Apr-25,E02,8:14,10,"jeganathan, paintedstork",P. Jeganathan,Praveen J,Moorthy,"Clear, near reservoir, motor noise, After 5min cicada, but not too bad(!)"
2024 Summer,2024-Apr-25,D03,8:37,10,"jeganathan, paintedstork",P. Jeganathan,Praveen J,Moorthy,"Clear, motor noise closeby, cicada"
2024 Summer,2024-Apr-25,C03,8:55,10,"jeganathan, paintedstork",P. Jeganathan,Praveen J,Moorthy,"Clear, tea-border, motornoise"
2024 Summer,2024-Apr-22,J12,9:15,10,"pritibangal, paintedstork",Priti Bangal,Praveen J,Sundararaj,Cloudy. Cicada
2024 Summer,2024-Apr-22,J13,6:33,10,"paintedstork, pritibangal",Praveen J,Priti Bangal,Sundararaj,Cloudy & dark
2024 Summer,2024-Apr-22,I13,6:54,10,"paintedstork, pritibangal",Praveen J,Priti Bangal,Sundararaj,Cloudy
2024 Summer,2024-Apr-22,H13,7:10,10,"pritibangal, paintedstork",Priti Bangal,Praveen J,Sundararaj,"Clear Sky, Cicada"
2024 Summer,2024-Apr-22,G13,7:24,10,"pritibangal, paintedstork",Priti Bangal,Praveen J,Sundararaj,Clear Sky
2024 Summer,2024-Apr-22,F13,7:42,10,"paintedstork, pritibangal",Praveen J,Priti Bangal,Sundararaj,"Noisy stream, Coffee undergrowth, visibility poor on one side"
2024 Summer,2024-Apr-22,G12,8:00,10,"paintedstork, pritibangal",Praveen J,Priti Bangal,Sundararaj,Clear & sunny
2024 Summer,2024-Apr-22,H12,8:18,10,"paintedstork, pritibangal",Praveen J,Priti Bangal,Sundararaj,Clear; dense understorey. Cicada
2024 Summer,2024-Apr-22,H11,8:39,10,"paintedstork, pritibangal",Praveen J,Priti Bangal,Sundararaj,"Clear, dense understorey."
2024 Summer,2024-Apr-22,H10,8:54,10,"pritibangal, paintedstork",Priti Bangal,Praveen J,Sundararaj,Cloudy & dense canopy
2024 Summer,2024-Apr-23,K17,6:27,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,Partly cloudy
2024 Summer,2024-Apr-23,L17,6:41,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,Clear
2024 Summer,2024-Apr-23,M17,6:57,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,Clear
2024 Summer,2024-Apr-23,M16,7:12,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,Clear
2024 Summer,2024-Apr-23,M15,7:27,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,Clear
2024 Summer,2024-Apr-23,M14,7:44,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,Clear
2024 Summer,2024-Apr-23,L14,8:00,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,"Clear,  Black-tipped Forest Glory"
2024 Summer,2024-Apr-23,L15,8:14,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,"Clear, cicada calling, 2 dracos at 10 m"
2024 Summer,2024-Apr-23,L16,8:27,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,"Clear, cicada but not that bad, Persia tree sp. 2 Big brown beetle with white spots (smaller than Six spotted beetle) along with a 3 metallic green beetle (2 mating), and also 2 assasin bugs"
2024 Summer,2024-Apr-23,K16,8:43,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,"Clear, cicada calling,"
2024 Summer,2024-Apr-23,K15,8:59,10,"jeganathan, mitts9479",P. Jeganathan,Mittal Gala,Moorthy,Clear
2024 Summer,2024-Apr-24,G08,6:13,10,"paintedstork, mitts9479",Praveen J,Mittal Gala,Moorthy,"Cloudy, Near Fast flowing forest stream (too loud)"
2024 Summer,2024-Apr-24,G07,6:33,10,"paintedstork, mitts9479",Praveen J,Mittal Gala,Moorthy,"Cloudy, Near Fast flowing forest stream (too loud)"
2024 Summer,2024-Apr-24,G06,6:50,10,"mitts9479, paintedstork",Mittal Gala,Praveen J,Moorthy,Cloudy
2024 Summer,2024-Apr-24,H06,7:07,10,"mitts9479, paintedstork",Mittal Gala,Praveen J,Moorthy,Partially Cloudy
2024 Summer,2024-Apr-24,I06,7:23,10,"paintedstork, mitts9479",Praveen J,Mittal Gala,Moorthy,"Clear, Cicadas started"
2024 Summer,2024-Apr-24,J06,7:38,10,"paintedstork, mitts9479",Praveen J,Mittal Gala,Moorthy,"Clear, Cicadas"
2024 Summer,2024-Apr-24,I07,7:57,10,"mitts9479, paintedstork",Mittal Gala,Praveen J,Moorthy,"Clear, Cicadas"
2024 Summer,2024-Apr-24,H07,8:11,10,"mitts9479, paintedstork",Mittal Gala,Praveen J,Moorthy,"Clear, Cicadas"
2024 Summer,2024-Apr-24,H08,8:30,10,"mitts9479, paintedstork",Mittal Gala,Praveen J,Moorthy,Partially Cloudy
2024 Summer,2024-Apr-25,F05,6:21,10,"mitts9479, trsraman",Mittal Gala,T R Shankar Raman,Rajesh,Partially Cloudy
2024 Summer,2024-Apr-25,G05,6:37,10,"mitts9479, trsraman",Mittal Gala,T R Shankar Raman,Rajesh,Partially Cloudy
2024 Summer,2024-Apr-25,H05,6:52,10,"mitts9479, trsraman",Mittal Gala,T R Shankar Raman,Rajesh,Partially Cloudy
2024 Summer,2024-Apr-25,I05,7:06,10,"mitts9479, trsraman",Mittal Gala,T R Shankar Raman,Rajesh,Partially Cloudy
2024 Summer,2024-Apr-25,J05,7:24,10,"mitts9479, trsraman",Mittal Gala,T R Shankar Raman,Rajesh,Clear & Sunny
2024 Summer,2024-Apr-25,J04,7:38,10,"mitts9479, trsraman",Mittal Gala,T R Shankar Raman,Rajesh,Clear & Sunny
2024 Summer,2024-Apr-25,K04,7:55,10,"mitts9479, trsraman",Mittal Gala,T R Shankar Raman,Rajesh,Clear & Sunny
2024 Summer,2024-Apr-25,L04,8:09,10,"mitts9479, trsraman",Mittal Gala,T R Shankar Raman,Rajesh,Clear & Sunny
2024 Summer,2024-Apr-25,L05,8:32,10,"mitts9479, trsraman",Mittal Gala,T R Shankar Raman,Rajesh,"Very Sunny, Cicadas"
2024 Summer,2024-Apr-25,K05,8:46,10,"mitts9479, trsraman",Mittal Gala,T R Shankar Raman,Rajesh,"Very Sunny, Cicadas"
2024 Summer,2024-Apr-22,J10,6:35,10,"trsraman, mitts9479",T R Shankar Raman,Mittal Gala,Moorthy,Partially Cloudy
2024 Summer,2024-Apr-22,K10,6:50,10,"trsraman, mitts9479",T R Shankar Raman,Mittal Gala,Moorthy,Clear
2024 Summer,2024-Apr-22,L10,7:10,10,"trsraman, mitts9479",T R Shankar Raman,Mittal Gala,Moorthy,"Clear, Nr Stream"
2024 Summer,2024-Apr-22,M10,7:27,10,"trsraman, mitts9479",T R Shankar Raman,Mittal Gala,Moorthy,Clear & Sunny
2024 Summer,2024-Apr-22,M09,7:42,10,"trsraman, mitts9479",T R Shankar Raman,Mittal Gala,Moorthy,Clear & Sunny
2024 Summer,2024-Apr-22,L09,7:58,10,"trsraman, mitts9479",T R Shankar Raman,Mittal Gala,Moorthy,"Clear & Sunny, Cicada"
2024 Summer,2024-Apr-22,K09,8:15,10,"trsraman, mitts9479",T R Shankar Raman,Mittal Gala,Moorthy,"Clear, Cicadas"
2024 Summer,2024-Apr-22,J09,8:31,10,"trsraman, mitts9479",T R Shankar Raman,Mittal Gala,Moorthy,"Partially Cloudy & Sunny, cicada"
2024 Summer,2024-Apr-22,I09,8:47,10,"trsraman, mitts9479",T R Shankar Raman,Mittal Gala,Moorthy,"Partially Cloudy, cicada"
2024 Summer,2024-Apr-22,I08,9:02,10,"trsraman, mitts9479",T R Shankar Raman,Mittal Gala,Moorthy,"Clear & Sunny, Cicada"
2024 Summer,2024-Apr-24,J08,6:14,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,Partly cloudy
2024 Summer,2024-Apr-24,K08,6:31,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,Partly cloudy
2024 Summer,2024-Apr-24,L08,6:46,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,Clear
2024 Summer,2024-Apr-24,M08,7:05,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,Clear
2024 Summer,2024-Apr-24,M07,7:17,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,Clear
2024 Summer,2024-Apr-24,L07,7:33,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,"Clear, cicada, near stream, reservoir view"
2024 Summer,2024-Apr-24,L06,7:49,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,"Clear, reservoir view, no water"
2024 Summer,2024-Apr-24,K06,8:04,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,"Clear, cicada but not too bad"
2024 Summer,2024-Apr-24,K07,8:25,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,"Clear, cicada call, draco seen at the point"
2024 Summer,2024-Apr-24,J07,8:40,10,"jeganathan, pritibangal",P. Jeganathan,Priti Bangal,Sundararaj,"Clear, cicada but not too bad"
2024 Summer,2024-Apr-23,H17,6:15,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, light just coming up"
2024 Summer,2024-Apr-23,H16,6:31,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sun coming up"
2024 Summer,2024-Apr-23,G16,6:44,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,Clear
2024 Summer,2024-Apr-23,G15,6:59,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-23,G14,7:15,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-23,F14,7:29,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-23,F15,7:46,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Sunny, bright"
2024 Summer,2024-Apr-23,F16,8:01,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-23,E15,8:18,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-23,D15,8:37,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, sunny, by the stream"
2024 Summer,2024-Apr-23,E14,9:01,10,"pritibangal, trsraman",Priti Bangal,T R Shankar Raman,Sundararaj,"Clear, noisy stream"
2024 Summer,2024-Apr-23,N16,6:39,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,Clear
2024 Summer,2024-Apr-23,N15,6:59,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,Clear
2024 Summer,2024-Apr-23,N14,7:15,10,"jiggilypop, paintedstork",Jignasa Patel,Praveen J,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,N13,7:29,10,"jiggilypop, paintedstork",Jignasa Patel,Praveen J,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,N12,7:46,10,"jiggilypop, paintedstork",Jignasa Patel,Praveen J,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,N11,8:03,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,N10,8:19,10,"jiggilypop, paintedstork",Jignasa Patel,Praveen J,Rajesh,"Clear, sunny, first cic call started"
2024 Summer,2024-Apr-23,N09,8:34,10,"jiggilypop, paintedstork",Jignasa Patel,Praveen J,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,N08,8:52,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,"Clear, sunny"
2024 Summer,2024-Apr-23,O08,9:07,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,"Clear, sunny, cic"
2024 Summer,2024-Apr-23,P08,9:21,10,"paintedstork, jiggilypop",Praveen J,Jignasa Patel,Rajesh,"Clear, sunny, cic"
2024 Summer,2024-Apr-24,K14,6:20,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Rajesh,"Mist, cloudy"
2024 Summer,2024-Apr-24,J14,6:35,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Rajesh,Cloudy
2024 Summer,2024-Apr-24,J15,6:49,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Rajesh,Partly cloudy
2024 Summer,2024-Apr-24,J16,7:04,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Rajesh,Partly cloudy
2024 Summer,2024-Apr-24,J17,7:19,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Rajesh,Partly cloudy
2024 Summer,2024-Apr-24,I17,7:33,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,"Partly cloudy, first cic call started"
2024 Summer,2024-Apr-24,I16,7:48,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,"Sunny, cic started, not so bad"
2024 Summer,2024-Apr-24,I15,8:04,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,"Sunny, cic"
2024 Summer,2024-Apr-24,H15,8:19,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,Sunny
2024 Summer,2024-Apr-24,H14,8:32,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,"Partly cloudy, cic"
2024 Summer,2024-Apr-24,I14,8:46,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Rajesh,"Partly cloudy, cic"
2024 Summer,2024-Apr-25,E04,6:11,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Misty, cloudy, frogs calling"
2024 Summer,2024-Apr-25,F04,6:26,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Misty, cloudy, frogs calling"
2024 Summer,2024-Apr-25,G04,6:48,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Sundararaj,"Wet, misty, near stream"
2024 Summer,2024-Apr-25,H04,7:07,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Sundararaj,Sun coming out
2024 Summer,2024-Apr-25,I03,7:26,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Mist clearing, dew falling"
2024 Summer,2024-Apr-25,H03,7:42,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Sun is coming through, cicadas started at 0747"
2024 Summer,2024-Apr-25,G03,7:57,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Sundararaj,"Clear, sunny"
2024 Summer,2024-Apr-25,F03,8:14,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Sundararaj,Sunny
2024 Summer,2024-Apr-25,F02,8:32,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Sunny, mixed flocks"
2024 Summer,2024-Apr-25,E03,8:58,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Sundararaj,"Sunny, cic"
2024 Summer,2024-Apr-22,J11,6:28,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Partially cloudy, wind 0, cc 70%"
2024 Summer,2024-Apr-22,K11,6:44,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Near stream, wind 0, cc 60%"
2024 Summer,2024-Apr-22,L11,7:00,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Partially cloudy, wind 0, cc 40%"
2024 Summer,2024-Apr-22,M11,7:15,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Partially cloudy, Near stream, wind 0"
2024 Summer,2024-Apr-22,M12,7:31,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Near stream, open, cc 40% clear skies"
2024 Summer,2024-Apr-22,L12,7:48,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,Sunny
2024 Summer,2024-Apr-22,K12,8:04,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Clear, sunny, wind 0, cc10%, at stream but less water, cicada but not too bad"
2024 Summer,2024-Apr-22,K13,8:18,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"cc 40%, clear, sunny, cicada but not too bad"
2024 Summer,2024-Apr-22,L13,8:34,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Wind 0, clear, sunny, Black-tipped Forest Glory"
2024 Summer,2024-Apr-22,M13,8:47,10,"jeganathan, jiggilypop",P. Jeganathan,Jignasa Patel,Rajesh,"Wind 0, clear, sunny, cicada increasing, Black-tipped Forest Glory, Blue Bush-dart and Bamboo-tail"
2024 Summer,2024-Apr-22,G09,NA,NA,NA,NA,NA,NA,MISSED SURVEYING THIS POINT
2024 Winter,2024-Dec-16,J10,6:42,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,Clear sunny morning
2024 Winter,2024-Dec-16,K10,7:02,10,"pritibangal, rikudoukarthik",Priti Bangal,Karthik Thrikkadeeri,Moorthy,Clear sunny morning
